name,price
Планшет Samsung Galaxy Tab A8 10.5 64GB WiFi + LTE Gray (SM-X205NZAESKZ),119990
Планшет Samsung Galaxy Tab A8 10.5 64GB WiFi + LTE Silver (SM-X205NZSESKZ),119990
Планшет Samsung Galaxy Tab A8 10.5 128GB WiFi + LTE Gray (SM-X205NZAFSKZ),139990
Планшет Samsung Galaxy Tab S8 11 128GB WiFi + 5G Dark Gray (SM-X706BZAASKZ),399990
Планшет Samsung Galaxy Tab A7 lite 8.7 32GB WiFi Gray (SM-T220NZAASKZ),79990
Планшет Samsung Galaxy Tab A8 10.5 128GB WiFi + LTE Silver (SM-X205NZSFSKZ),139990
"Планшет Samsung Galaxy Tab A7 lite 8,7 32GB WiFi + LTE Gray (SM-T225NZAASKZ)",99990
Планшет Samsung Galaxy Tab S8 Ultra 14.6 256GB WiFi + 5G Dark Gray (SM-X906BZAESKZ),579990
Планшет Samsung Galaxy Tab A7 10.4 32GB WiFi + LTE Gray (SM-T505NZAASKZ),79990
Планшет Samsung Galaxy Tab S8 11 128GB WiFi + 5G Silver (SM-X706BZSASKZ),399990
Планшет Samsung Galaxy Tab A7 lite 8.7 32GB WiFi + LTE Silver (SM-T225NZSASKZ),99990
Планшет Samsung Galaxy Tab S8+ 12.4 128GB WiFi + 5G Dark Gray (SM-X806BZAASKZ),449990
Планшет Samsung Galaxy Tab S8+ 12.4 128GB WiFi + 5G Silver (SM-X806BZSASKZ),449990
Планшет Samsung Galaxy Tab S8+ 12.4 256GB WiFi + 5G Dark Gray (SM-X806BZABSKZ),479990
Планшет Apple iPad 10.2 2021 64GB WiFi Space Grey (MK2K3RK/A),189990
Планшет Samsung Galaxy Tab S8+ 12.4 256GB WiFi + 5G Silver (SM-X806BZSBSKZ),479990
Планшет Samsung Galaxy Tab S8 11 128GB WiFi + 5G Pink Gold (SM-X706BIDASKZ),399990
Планшет Samsung Galaxy Tab A7 lite 8.7 32GB WiFi Silver (SM-T220NZSASK),79990
Планшет Samsung Galaxy Tab S8+ 12.4 256GB WiFi + 5G Pink Gold (SM-X806BIDBSKZ),479990
Планшет Samsung Galaxy Tab S8+ 12.4 128GB WiFi + 5G Pink Gold (SM-X806BIDASKZ),449990
Планшет Samsung Galaxy Tab A7 10.4 32GB WiFi + LTE Gold (SM-T505NZDASKZ),79990
Планшет Apple iPad Air 10.9 2022 64GB WiFi Space Grey (MM9C3RK/A),390990
Планшет Lenovo Tab M8 HD 32GB WiFi + LTE Iron Grey (ZA5H0060RU),84990
Планшет Lenovo Tab M8 32GB WiFi Iron Grey (ZA5G0021RU),69990
Планшет Apple iPad 10.2 2021 64GB WiFi Silver (MK2L3RK/A),189990
Планшет Apple iPad 10.9 2022 64GB WiFi Blue (MPQ13RK/A),289990
"Планшет Redmi Pad 10.6"" 128GB Graphite Gray (RP128GG)",149990
Планшет Apple iPad Air 10.9 2022 64GB WiFi Blue (MM9E3RK/A),390990
Планшет Lenovo Tab M10 HD (2nd Gen) 10.1 64GB WiFi + LTE Iron Grey (ZA6V0153RU),114990
"Планшет Redmi Pad 10.6"" 128GB Moonlight Silver (RP128MS)",149990
Планшет Apple iPad 10.9 2022 64GB WiFi Silver (MPQ03RK/A),289990
Планшет Lenovo Tab P11 128GB WiFi + LTE Slate Grey (ZA7S0022RU),164990
Планшет HUAWEI MatePad 11 128GB WiFi Серый матовый (Debussy-W09CS),259990
Планшет Apple iPad Air 10.9 2022 64GB WiFi Purple (MME23RK/A),390990
Планшет Apple iPad Pro 12.9 2022 128GB WiFi + Cellular Space Grey (MP1X3RK/A),813990
Планшет Prestigio Q PRO 8'' 16GB WiFi + LTE Space Gray (PMT4238_4G_D_GY),44990
Планшет Apple iPad 10.2 2021 64GB WiFi + Cellular Space Grey (MK473RK/A),298990
Планшет Lenovo Tab M10 FHD Plus 64GB WiFi + LTE + Charging Station Iron Grey (ZA5Y0071RU),109890
"Планшет Redmi Pad 10.6"" 128GB Mint Green (RP128MG)",149990
Планшет Apple iPad Pro 11 2022 128GB WiFi Space Grey (MNXD3RK/A),520990
Планшет Xiaomi PAD 5 11 128GB WiFi White (38883),199990
Планшет Apple iPad 10.9 2022 64GB WiFi + Cellular Blue (MQ6K3RK/A),390990
Планшет Apple iPad Air 10.9 2022 64GB WiFi Starlight (MM9F3RK/A),390990
Планшет HUAWEI MatePad T 10s 128GB WiFi + LTE Deepsea Blue (Ags3K-L09E),149990
Планшет HUAWEI MatePad 11 64GB WiFi Серый матовый (Debussy-W09BS),239990
Планшет HUAWEI Mate Pad 10.4 64GB WiFi + LTE Matte Grey (Bach4-L09CS),169990
Планшет Prestigio Wize 7 8GB WiFi + 3G Black (PMT41173G),24990
Планшет Prestigio Q PRO 8'' 16GB WiFi + LTE Mint (PMT4238_4G_D_MT),44990
Планшет Prestigio Grace 10.1 16GB WiFi + LTE Black (PMT4991_4G_D),64990
